Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data;Analisado por
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Provias 2009                                  ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;300.000;00000.000000/0021-94;3100104;Devolvido;19/08/2009;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;172.700;17944.000104/2008-22;3100104;Arquivado;17/04/2008;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Provias 2009                                  ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;300.000;17944.000953/2009-67;3100104;Deferido ;20/11/2009;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Caminho da Escola 2009 A                      ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;187.200;17944.001037/2009-44;3100104;Deferido ;20/11/2009;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000;17944.001324/2013-31;3100104;Deferido ;06/11/2013;STN
Abaeté             ;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;950.000;17944.001370/2013-30;3100203;Deferido ;12/11/2013;STN
Abaeté             ;MG;Município;Operação Contratual Interna;Provias                                       ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;825.000;17944.002020/2006-61;3100203;Deferido ;18/06/2007;STN
Abaíra             ;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A   ;Real;700.000;17944.000640/2011-23;2900108;Deferido ;20/06/2011;STN
Abaíra             ;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A   ;Real;55.000;17944.000688/2010-51;2900108;Deferido ;21/06/2010;STN
Abaíra             ;BA;Município;Operação Contratual Interna;Caminho da Escola 2                           ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;299.450;17944.001207/2008-18;2900108;Arquivado;26/08/2008;STN
Abaíra             ;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A   ;Real;340.000;19407.000022/2002-03;2900108;Deferido ;08/07/2002;STN
Abaíra             ;BA;Município;Operação Contratual Interna;Saneamento básico                             ;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A   ;Real;160.000;19407.000025/2002-39;2900108;Deferido ;29/07/2002;STN
Abatiá             ;PR;Município;Operação Contratual Interna;PMAT                                          ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;130.392;19406.000015/2007-18;4100103;Deferido ;09/04/2007;STN
Abatiá             ;PR;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;40.000;19406.000266/2007-01;4100103;Deferido ;27/07/2007;STN
Abatiá             ;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;515.300;19406.000278/2007-27;4100103;Deferido ;27/07/2007;STN
Abatiá             ;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;280.000;17944.000787/2015-47;4100103;Deferido ;14/09/2015;STN
Abatiá             ;PR;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;1.100.000;17944.000786/2015-01;4100103;Deferido ;14/09/2015;STN
Abdon Batista      ;SC;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;429.760;00000.000000/0081-48;4200051;Devolvido;11/01/2012;STN
Abdon Batista      ;SC;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.000.000;17944.000024/2015-04;4200051;Deferido ;30/03/2015;STN
Abdon Batista      ;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;491.330;17944.000601/2012-15;4200051;Deferido ;29/05/2012;STN
Abdon Batista      ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;1.000.000;17944.000694/2013-51;4200051;Deferido ;09/08/2013;STN
Abdon Batista      ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;300.000;19406.000039/2009-39;4200051;Deferido ;29/06/2009;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.880.000;17944.001366/2011-18;4200101;Deferido ;10/11/2011;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;1.700.000;17944.001391/2011-93;4200101;Deferido ;10/11/2011;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;PROUCA                                        ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;395.787;17944.001791/2011-07;4200101;Deferido ;29/03/2012;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;628.370;19406.000041/2008-27;4200101;Deferido ;11/03/2008;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;1.800.000;19406.000119/2006-41;4200101;Deferido ;30/06/2006;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;1.400.000;19406.000134/2009-32;4200101;Deferido ;16/11/2009;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Provias 2009                                  ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;1.250.000;19406.000178/2009-62;4200101;Deferido ;30/06/2010;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;2.000.000;17944.000664/2015-14;4200101;Deferido ;03/12/2015;STN
Abelardo Luz       ;SC;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catari;Real;2.000.000;PVL02.000651/2018-17;4200101;Deferido ;22/05/2018;Ins
Abre Campo         ;MG;Município;Operação Contratual Interna;Provias                                       ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;820.000;17944.000123/2014-05;3100302;Deferido ;25/09/2014;STN
Abre Campo         ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000;17944.000124/2014-41;3100302;Deferido ;05/06/2014;STN
Abre Campo         ;MG;Município;Operação Contratual Interna;Caminho da Escola 4                           ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;518.100;17944.001603/2008-37;3100302;Arquivado;15/09/2008;STN
Abre Campo         ;MG;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;820.000;17944.001842/2011-92;3100302;Arquivado;25/01/2013;STN
